"ID","Award Number","Project Title","Award Period","Project Director First Name","Project Director Middle Name","Project Director Last Name","Co-Project Director First Name","Co-Project Director Middle Name","Co-Project Director Last Name","Organization","Organization City","Organization State","Organization Postal Code","Organization Country","Year Awarded","Primary Humanities Discipline","Grant Program Name","Division or Office","Approved Outright Funds","Approved Matching Funds","Awarded Outright Funds","Awarded Matching Funds","Description"
45,"HAA-284835-22","Building and Disseminating an App for Ethnographic Remote Audio Recording","1/1/2022 - 12/31/2025","Elizabeth","","Sneller","","","","Michigan State University","East Lansing","MI","48824-3407","USA","2021","Interdisciplinary Studies, General","Digital Humanities Advancement Grants","Digital Humanities","99908.02","0","99908","0","<p>The development and testing with humanities scholars of an open source mobile recording app for collecting “audio diaries” for use in research and public engagement. </p><p>This project builds on the success of an existing prototype for a remote recording mobile app used to collect ""audio diaries"" in 2020-2021. We aim to redevelop the code for the front end of the app and refactor the code for the back end, resulting in a shareable app infrastructure that may be adopted by researchers at any number of institutions. We will bring together a user community of beta testing researchers across the humanities who may benefit from a remote recording app, which we hope to expand during the second year of funding into a broad user community and support system. The code and user manual will be published on a public GitLab repository, enabling future improvements by the user community.</p>"
45,"HAA-284836-22","Translating Cherokee Manuscripts: Creating a Writing Environment for DAILP","1/1/2022 - 6/30/2024","Ellen","","Cushman","","","","Northeastern University","Boston","MA","02115-5005","USA","2021","Native American Studies","Digital Humanities Advancement Grants","Digital Humanities","99957","0","99957","0","<p>The further development of user interfaces for collective translation of the collections in the Digital Archive for American Indian Languages Preservation and Perseverance (DAILP), a digital archive of Cherokee-language manuscripts and lexical resources.</p><p>Cherokee language documents are a ready source of valuable insight into the cultural, linguistic, and historical legacy of the Cherokee people. With an online environment to facilitate translation, Cherokee language experts and scholars could translate these documents collectively with Cherokee language learners of all ages who are found in online classes, immersion schools, university classrooms, and communities. And their translation work could be supported with ready access to the lexical datasets found in dictionaries, wordlists, and grammars. The Digital Archive for American Indian Languages Preservation and Perseverance (DAILP) seeks to address these needs by creating a digital archive of Cherokee-language manuscripts and lexical resources to support the collective translation of American Indian language manuscripts, and to advance indigenous language learning, translation, and documentation.</p>"
45,"HAA-284842-22","Changing Communities of Ancient Builders: Machine Learning-based Analysis of Mortars from Caesarea Maritima (Israel)","1/1/2022 - 12/31/2024","Markus","","Eberl","","","","Vanderbilt University","Nashville","TN","37203-2416","USA","2021","Archaeology","Digital Humanities Advancement Grants","Digital Humanities","49289","0","41515","0","<p>The creation of machine learning methods to identify microartifacts from archaeological sites. </p><p>Mortars are ubiquitous and essential parts of construction. Ancient builders prepared them as members of changing communities of practice. We ask to what degree interactions among contemporaries led to standardized mortars and whether builders learnt from culturally different predecessors. These issues require studying a large data set objectively. Our Level 1 project proposes to analyze 1000 mortar samples and ~1 billion particles with a dynamic image particle analyzer. We train machine learning algorithms to identify experimentally reproduced mortar constituents in archaeological samples. The latter come from the ancient port city of Caesarea Maritima that Roman, Jewish, Byzantine, Abassid-Fatimid Muslim, and Crusader builders constructed between 22 B.C.E. and 1265 C.E. Our approach – dynamic image analysis, experimental archaeology, and machine learning – can be extended to other parts of the ancient Mediterranean as well as to other microartifacts.</p>"
45,"HAA-284844-22","Expanding Access to the Digital Humanities in St. Louis","1/1/2022 - 6/30/2023","Geremy","","Carnes","Margaret","","Smith","Lindenwood Education System","Saint Charles","MO","63301-1693","USA","2021","Interdisciplinary Studies, General","Digital Humanities Advancement Grants","Digital Humanities","49938","0","43152","0","<p>Developing a workshop and building a network for supporting and disseminating methods in digital humanities pedagogy for secondary and post-secondary institutions in the St. Louis, Missouri region.</p><p>“Expanding Access to the Digital Humanities in St. Louis” will build a digital humanities network for the greater St. Louis metropolitan area, linking faculty, students, and community members across the region’s educational and cultural institutions in a community of pedagogy and practice. This network will bridge the K-12-college divide and emphasize active advancement of digital humanities pedagogy and access for underserved populations. Rather than focusing on faculty research, this network will center student learning, particularly at the often neglected secondary and undergraduate levels. At a workshop held in September 2022, network members will establish processes that will allow secondary and post-secondary students throughout the region to participate remotely in digital humanities projects headquartered at participating institutions. They will also identify other collaborative goals for the network to pursue toward improving digital humanities pedagogy in St. Louis.</p>"
45,"HAA-284849-22","iSpraak: A web-based application for second language pronunciation instruction, assessment, and research","1/1/2022 - 12/31/2024","Daniel","","Nickolai","Amy","E.","Wright","St. Louis University","St. Louis","MO","63103-2097","USA","2021","Linguistics","Digital Humanities Advancement Grants","Digital Humanities","225000","50000","225000","50000","<p>Scaling up development and dissemination of the iSpraak application as a free and open source language pronunciation instruction and learning tool. </p><p>This NEH Digital Humanities Advancement Grant proposal outlines the plan to enhance, scale, and provide free access to the web application iSpraak. This digital platform equips educators and scholars with an innovative tool for second language pronunciation instruction, assessment, and research. Originally developed for internal use at Saint Louis University in 2014, iSpraak has now been used by tens of thousands of students and instructors across the globe. NEH funding is currently sought in order to continue development, remove cost barriers to access, and to make the platform fully open and accessible to all interested parties.</p>"
45,"HAA-284850-22","Tools for Open Research and Computation with HathiTrust: Leveraging Intelligent Text Extraction (TORCHLITE)","1/1/2022 - 12/31/2024","John","Anthony","Walsh","J. Stephen","","Downie","Indiana University, Bloomington","Bloomington","IN","47405-7000","USA","2021","Interdisciplinary Studies, Other","Digital Humanities Advancement Grants","Digital Humanities","325000","0","314687.54","0","<p>The development of web-based tools and documentation to allow both novice and expert users to interact with data from the HathiTrust Digital Library.</p><p>The HathiTrust Research Center (HTRC) seeks $325,000 in funding for a period of 2 years, through the Digital Humanities Advancement Grants program, Level III, for the development of next-generation web-based, interactive visualization and analytical tool dashboard that consume existing data from our one-of-a-kind, fully open Extracted Features dataset, along with a well-documented API to allow our user community to develop its own tools for interacting with data from the 17.5-million-volume HathiTrust Digital Library. We will develop and promote these tools and API through a robust community outreach program that includes a public event and hack-a-thon focused on tool building.</p>"
45,"HAA-284853-22","PGVis: Digital Public Humanities Software for Visualizing Image Collections","1/1/2022 - 12/31/2025","Lauren","","Tilton","Taylor","","Arnold","University of Richmond","Richmond","VA","23173-0001","USA","2021","Media Studies","Digital Humanities Advancement Grants","Digital Humanities","324693","0","324693","0","<p>The creation of software to easily allow non-programmers to develop interactive public humanities digital projects.</p><p>The Photogrammar Visualization Software (PGVis) is an open-source tool for the visualization and exploration of image collections. PGVis will allow anyone with a collection of digital images and associated metadata to create, with no prior programming experience, their own digital public humanities projects in the form of public websites. In addition to the software, the project will produce six case studies that will model and highlight how the software can be used in a variety of different domains, data sizes, and types of institutions.</p>"
45,"HAA-284855-22","Understanding the Impact on Print Revenue When University Press Books are Open Access","2/1/2022 - 10/31/2023","John","E.","Sherer","Erich","","van Rijn","Association of University Presses, Inc.","New York","NY","10018-9228","USA","2021","Interdisciplinary Studies, General","Digital Humanities Advancement Grants","Digital Humanities","49680","0","49680","0","<p>A survey of scholarly presses and the preparation of a report on revenue models for open access publishing.</p><p>The project seeks to understand empirically whether the availability of Open Access (OA) editions of scholarly books has a quantifiable effect on the sales performance of print editions. University presses publish an estimated 4000 monographs annually. While many university presses have pursued experiments with OA publishing, sustainable financing of all publishing operations is a significant concern. This study will gather sales data on a significant number of both OA and traditionally published titles across multiple disciplines from a wide array of non-profit scholarly publishers in order to answer one of the biggest questions in humanities book publishing: does an OA option decrease sales, increase sales via greater discovery, or have no discernible effect? The research will be essential to inform future OA book programs and models, pointing the way to expanding sustainable open publishing operations.</p>"
45,"HAA-284870-22","Evaluating the Practices and Impact of Digital Scholarship on World Language Pedagogy in K-12 Urban and Rural Contexts","1/1/2022 - 3/31/2024","Kelly","","Arispe","","","","Boise State University","Boise","ID","83725-0001","USA","2021","Languages, General","Digital Humanities Advancement Grants","Digital Humanities","100000","0","99763.69","0","<p>An evaluative study on the impact of teaching world languages using Open Educational Resources (OERs) in K-12 classrooms across Idaho.</p><p>This Level II proposal addresses the third program priority to implement an evaluative study on the practices and impact of digital scholarship on pedagogy to enhance teaching and learning in the humanities. Our project, Pathways, is an Open Educational Resource (OER) that is a repository of more than 700 high-quality, editable digital materials (activities) that supports standards-based pedagogy centered on human inquiry for ten world languages and cultures. This project is innovative because we evaluate K-12 urban and rural pedagogy impacted over time as we explicitly train teachers to use Pathways and other digital humanities materials aligned to world languages and cultures. The findings from this evaluative study will provide new opportunities to communicate the impact of digital scholarship on pedagogy by characterizing the beliefs, perceptions, interests, and teacher practices of urban and rural K-12 humanities teachers, a profoundly under investigated population.</p>"
45,"HAA-284880-22","Inverting the Wunderkammer: Rethinking the Digital Humanities through Botanic Histories and Archives","3/1/2022 - 6/30/2024","Tega","","Brain","Elaine","","Ayers","New York University","New York","NY","10012-1019","USA","2021","Social Sciences, Other","Digital Humanities Advancement Grants","Digital Humanities","50000","0","50000","0","<p>Convening of a series of participatory design workshops to enhance discovery and use of the Mitten Collection of moss for humanities research.  <br class=""BCX0 SCXW267493809"" style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; white-space: pre !important;"" /></p><p>This submission to the NEH Digital Humanities Advancement Grant requests support for a Level I project titled Inverting the Wunderkammer: Rethinking the Digital Humanities through Botanic Histories and Archives, to be hosted by New York University (NYU) in partnership with the New York Botanical Gardens (NYBG). Building and expanding on histories of botany and responding to the ongoing violences of colonial collecting, preservation, and display at work in western cultural institutions, our project tackles the digital representation of a perhaps surprising plant that travels the globe in unusual ways at multiple scales: moss. Moss, in all of its miniscule, microscopic mundanity, might initially seem an odd choice of subject for a humanities-based project, especially after an arduous year of existential, ecological, and political challenges.</p>"
